agency,agency_code,pen_year,company,city,county,street_address,state,zip,description,naics,info_source,notes,unique_id,current_parent_name,curr_ISIN,curr_cik,load_day,penalty,sub_penalty,penalty_adjusted,orig_id,civil_criminal,npa_dpa,offense_group,primary_offense,secondary_offense,naics_tr,case_id,facility_name,penalty_date,govt_level,case_category,court,litigation_case_title,lawsuit_resolution,pacer_link,reporting_date_parent,hist_ISIN,hist_cik,history_recap
Environmental Protection Agency referral to the Justice Department,EPA,2015,Anadarko Petroleum Corp.,,,,,,"A settlement reached with Anadarko Petroleum Corp.and Kerr McGee went into effect, allowing funds to be disbursed for cleanups across the country. This settlement resolved fraudulent conveyance claims brought by the United States and the Anadarko Litigation Trust, the trust against Anadarko Petroleum Corporation and its affiliates, the defendants, in the bankruptcy of Tronox Inc. and its subsidiaries.  The defendants paid $5.15 billion, plus interest, to the trust.  The trust was expected to distribute more than $4.4 billion to fund environmental clean-up and for environmental claims.",,http://www.justice.gov/opa/pr/historic-515-billion-environmental-and-tort-settlement-anadarko-petroleum-corp-goes-effect-0,,16136,Occidental Petroleum,US6745991058,797468,20151011,5150000000,0,5150000000,,civil,,environment-related offenses,environmental violation,,,,,20150123,federal,agency action,,,,,Anadarko Petroleum,US0325111070,773910,Occidental bought Anadarko in 2019
Consumer Financial Protection Bureau,CFPB,2013,Ocwen Financial Corporation and Ocwen Loan Servicing,,,,,,"The Consumer Financial Protection Bureau, authorities in 49 states, and the District of Columbia filed a proposed court order requiring the country's largest nonbank mortgage loan servicer, Ocwen Financial Corporation, and its subsidiary, Ocwen Loan Servicing, to provide $2 billion in principal reduction to underwater borrowers. Ocwen was also required to refund $125 million to the nearly 185,000 borrowers who had already been foreclosed upon and was required to adhere to significant new homeowner protections.",,http://www.consumerfinance.gov/about-us/newsroom/cfpb-state-authorities-order-ocwen-to-provide-2-billion-in-relief-to-homeowners-for-servicing-wrongs/,,191614,Ocwen Financial,US6757466064,873860,20160603,2125000000,0,2125000000,,civil,,consumer-protection-related offenses,consumer protection violation,mortgage abuses,,,,20131219,federal,agency action,,,,,Ocwen Financial,US6757466064,873860,
Texas Department of Insurance,TX-INS,2020,Old Republic Insurance Co.,,,,TX,,workers compensation,,https://www.tdi.texas.gov/wc/orders/documents/dwc206401.pdf,,3645896,Old Republic International,US6802231042,74260,20200921,7000,0,7000,,civil,,consumer-protection-related offenses,insurance violation,,,,,20200721,state,agency action,,,,,Old Republic International,US6802231042,74260,
Texas Department of Insurance,TX-INS,2009,Old Republic Insurance Company,,,,TX,,workers compensation,,"DIVISION OF WORKERS COMPENSATION ENFORCEMENT ACTIONS FOR MAY 2009, States News Service, June 30, 2009 (via Nexis).",,3430365,Old Republic International,US6802231042,74260,20200615,7500,0,7500,,civil,,consumer-protection-related offenses,insurance violation,,,,,20090501,state,agency action,,,,,Old Republic International,US6802231042,74260,
,,2002,American Home Products,,,,,,In January 2002 American Home Products announced that it had finalized a $3.75 billion settlement of multi-district litigation concerning alleged harms caused by its diet drug combination known as fen-phen: https://www.sec.gov/Archives/edgar/data/5187/000000518702000005/ann10k01.txt.,,https://www.nytimes.com/2002/01/11/business/fen-phen-settlement-approved.html,,4200042,Pfizer,US7170811035,78003,20211216,3750000000,0,3750000000,,civil,,safety-related offenses,drug or medical equipment safety violation,product safety violation,,MDL No. 1203,,20020103,federal,private litigation,Eastern District of Pennsylvania,IN RE: Diet Drugs (Phentermine/Fenfluramine/Dexfenfluramine) Products Liability Litigation,settlement,https://ecf.jpml.uscourts.gov/cgi-bin/DktRpt.pl?362057269944796-L_1_1-1,Wyeth,US9830241009,5187,Pfizer bought Wyeth in 2009
Justice Department Civil Division,FDA,2009,Pfizer Inc.,,,,,,"American pharmaceutical giant Pfizer Inc. and its subsidiary Pharmacia & Upjohn Company Inc. agreed to pay $2.3 billion to resolve criminal and civil liability arising from the illegal promotion of certain pharmaceutical products. Pfizer was required to pay a criminal fine of $1.195 billion and Pharmacia & Upjohn was required to forfeit $105 million, for a total criminal resolution of $1.3 billion. The other $1 billion represented a civil False Claims Act penalty.",,https://www.justice.gov/opa/pr/justice-department-announces-largest-health-care-fraud-settlement-its-history,,207526,Pfizer,US7170811035,78003,20170110,2300000000,0,2300000000,,civil and criminal,,healthcare-related offenses,off-label or unapproved promotion of medical products,,,,,20090902,federal,agency action,,,,,Pfizer,US7170811035,78003,
California Multi-Jurisdiction Case,CA-MULTI,2019,Pacific Gas & Electric,,multi-county,,CA,,"Pacific Gas and Electric Company agreed to pay $1 billion to resolve the wildfire claims brought by 18 local public entities (cities, counties, districts and public agencies) impacted by the 2015 Butte Fire, 2017 Northern California wildfires and 2018 Camp Fire.",,https://www.pge.com/en/about/newsroom/newsdetails/index.page?title=20190619_pge_and_local_public_entities_resolve_2015_2017_and_2018_wildfire_claims,,3197625,PG&E Corp.,US69331C1080,1004980,20191124,1000000000,0,1000000000,,civil,,consumer-protection-related offenses,consumer protection violation,,,,,20190619,local,agency action,,,settlement,,PG&E Corp.,US69331C1080,1004980,
California Public Utilities Commission,CA-PUC,2020,Pacific Gas & Electric Co. (PG&E),,,,CA,,"The California Public Utilities Commission imposed $1.937 billion in penalties against Pacific Gas and Electric Company, the largest penalty ever assessed by the CPUC, for the utility's role in the catastrophic 2017 and 2018 wildfires.",,https://docs.cpuc.ca.gov/PublishedDocs/Published/G000/M337/K016/337016958.PDF,,4683972,PG&E Corp.,US69331C1080,1004980,20220305,1937000000,0,1937000000,,civil,,safety-related offenses,utility safety violation,,,19-06-015,,20200507,state,agency action,,,,,PG&E Corp.,US69331C1080,1004980,
California Public Utilities Commission,CA-PUC,2015,Pacific Gas & Electric Co. (PG&E),,,,CA,,"The California Public Utilities Commission fined Pacific Gas and Electric Company $1.6 billion for the unsafe operation of its gas transmission system, including the pipeline rupture in San Bruno, Calif., in 2010. The decision ordered PG&E to pay $850 million in gas transmission pipeline safety infrastructure improvements; $300 million in a fine to the state's General Fund; $400 million in a one-time bill credit spread across PG&E's gas customers; and approximately $50 million towards other remedies to enhance pipeline safety.",,https://docs.cpuc.ca.gov/PublishedDocs/Published/G000/M151/K034/151034091.PDF,,4684082,PG&E Corp.,US69331C1080,1004980,20220305,1600000000,0,1600000000,,civil,,safety-related offenses,utility safety violation,,,I.12-01-007; I.11-02-016; I.11-11-009,,20150409,state,agency action,,,,,PG&E Corp.,US69331C1080,1004980,
Texas Department of Insurance,TX-INS,2014,Protective Insurance Company,,,,TX,,workers compensation,,https://wwwapps.tdi.state.tx.us/inter/asproot/commish/da/dwcclips2014.asp,,3430724,Progressive,US7433151039,80661,20200615,9000,0,9000,,civil,,consumer-protection-related offenses,insurance violation,,,,,20141202,state,agency action,,,,,Baldwin & Lyons,,9346,Baldwin & Lyons changed name to Protective Insurance in 2018 and was acquired by Progressive Corp. in 2021.
Texas Department of Insurance,TX-INS,2014,General Casualty Company of Wisconsin,,,,TX,,workers compensation,,https://wwwapps.tdi.state.tx.us/inter/asproot/commish/da/dwcclips2014.asp?page=2,,3430690,QBE Insurance,AU000000QBE9,,20200615,7000,0,7000,,civil,,consumer-protection-related offenses,insurance violation,,,,,20140721,state,agency action,,,,,QBE Insurance,AU000000QBE9,,
U.S. Attorney-Western District of Virginia,USAO,2019,Reckitt Benckiser Group plc,,,,,,Reckitt Benckiser Group PLC agreed to pay more than $1.3 billion to resolve its potential criminal and civil liability related to a federal investigation of the marketing of the opioid addiction treatment drug Suboxone. ,,https://www.justice.gov/usao-wdva/pr/justice-department-obtains-14-billion-reckitt-benckiser-group-largest-recovery-case,,3193385,Reckitt Benckiser,GB00B24CGK77,,20190907,1347000000,0,1347000000,,civil and criminal,non-prosecution agreement,healthcare-related offenses,Controlled Substances Act violation,False Claims Act and related,,,,20190711,federal,agency action,,,,,Reckitt Benckiser,GB00B24CGK77,,
Justice Department multiagency referral,DOJ,2015,Standard & Poor's Financial Services LLC,,,,,,"The Department of Justice and 19 states and the District of Columbia entered into a $1.375 billion settlement agreement with the rating agency Standard & Poor's Financial Services LLC, along with its parent corporation McGraw Hill Financial Inc., to resolve allegations that S&P had engaged in a scheme to defraud investors in structured financial products known as Residential Mortgage-Backed Securities and Collateralized Debt Obligations.",,https://www.justice.gov/opa/pr/justice-department-and-state-partners-secure-1375-billion-settlement-sp-defrauding-investors,,191914,S&P Global,US78409V1044,64040,20160603,1375000000,0,1375000000,,civil,,financial offenses,toxic securities abuses,,,,,20150203,federal,agency action,,,,,S&P Global,US78409V1044,64040,
Texas Department of Insurance,TX-INS,2019,Selective Insurance Company of America,,,,TX,,workers compensation,,https://www.tdi.texas.gov/wc/orders/documents/dwc196098.pdf,,3431282,Selective Insurance Group,US8163001071,230557,20200615,6500,0,6500,,civil,,consumer-protection-related offenses,insurance violation,,,,,20190927,state,agency action,,,,,Selective Insurance Group,US8163001071,230557,
Texas Department of Insurance,TX-INS,2019,Sentry Insurance,,,,TX,,workers compensation,,https://www.tdi.texas.gov/wc/orders/documents/dwc195889.pdf,,3431231,Sentry Insurance,,,20200615,9000,0,9000,,civil,,consumer-protection-related offenses,insurance violation,,,,,20190311,state,agency action,,,,,Sentry Insurance,,,
Texas Department of Insurance,TX-INS,2010,"Sentry Insurance, A Mutual Company",,,,TX,,workers compensation,,"Texas Work Comp Enforcements for November Include Fines Up to $60K, Insurance Journal, December 15, 2010 (via Nexis).",,3430434,Sentry Insurance,,,20200615,7200,0,7200,,civil,,consumer-protection-related offenses,insurance violation,,,,,20101116,state,agency action,,,,,Sentry Insurance,,,
,,2014,Stryker Corp.,,,,,,Stryker announced that it had recorded a charge to earnings of $1.425 billion to cover the costs of settling multi-district litigation concerning allegedly defective metal hip replacement parts: https://www.sec.gov/Archives/edgar/data/310764/000031076414000194/syk110314exhibit991.htm,,https://www.law360.com/articles/593053/stryker-to-pay-1b-to-settle-hip-implant-mdl-claims,,4199988,Stryker,US8636671013,310764,20211216,1425000000,0,1425000000,,civil,,safety-related offenses,drug or medical equipment safety violation,product safety violation,,0:13md2441,,20141103,federal,private litigation,District of Minnesota,In re: Stryker Rejuvenate and ABG II Hip Implant Products Liability Litigation,settlement,https://ecf.mnd.uscourts.gov/cgi-bin/DktRpt.pl?132332,Stryker,US8636671013,310764,
,,2015,Takeda Pharmaceutical Co. Ltd.,,,,,,In April 2015 Takeda announced that it would put up to $2.4 billion into a fund to settle multi-district litigation alleging that its diabetes drug Actos increased the risk of bladder cancer: https://www.takeda.com/en-us/newsroom/news-releases/2015/takeda-agrees-to-settle-actos-product-liability-lawsuits-and-claims-takeda-stresses-continued-commitment-to-actos/,,https://www.law360.com/articles/648942/takeda-will-pay-up-to-2-4b-to-resolve-actos-suits,,4199986,Takeda Pharmaceutical,JP3463000004,,20211216,2400000000,0,2400000000,,civil,,safety-related offenses,drug or medical equipment safety violation,product safety violation,,6:11md2299,,20150427,federal,private litigation,Western District of Louisiana,In Re: Actos (Pioglitazone) Products Liability Litigation,settlement,https://ecf.lawd.uscourts.gov/cgi-bin/DktRpt.pl?121329,Takeda Pharmaceutical,JP3463000004,,
Federal Trade Commission,FTC,2015,"Cephalon, Inc.",,,,,,"The Federal Trade Commission reached a settlement resolving a suit accusing Cephalon, Inc. of illegally blocking generic competition to its blockbuster sleep-disorder drug Provigil. The settlement ensures that Teva Pharmaceutical Industries, Ltd., which acquired Cephalon in 2012, will make a total of $1.2 billion available to compensate purchasers, including drug wholesalers, pharmacies, and insurers, who overpaid because of Cephalon's illegal conduct.",,https://www.ftc.gov/news-events/press-releases/2015/05/ftc-settlement-cephalon-pay-delay-case-ensures-12-billion-ill,,191400,Teva Pharmaceutical Industries,IL0006290147,818686,20160603,1200000000,0,1200000000,,civil,,consumer-protection-related offenses,consumer protection violation,price-fixing or anti-competitive practices,,,,20150528,federal,agency action,,,,,Teva Pharmaceutical Industries,IL0006290147,818686,
Multistate Attorneys General Case,MULTI-AG,2022,Teva Pharmaceuticals,,,,,,Teva agreed to pay up to $4.25 billion to settle multistate litigation alleging it deceptively marketed opioid products by downplaying the risk of addiction.,,https://www.oag.ca.gov/news/press-releases/attorney-general-bonta-announces-425-billion-nationwide-settlement-opioid,,5193231,Teva Pharmaceutical Industries,IL0006290147,818686,20220918,4250000000,0,4250000000,,civil,,healthcare-related offenses,off-label or unapproved promotion of medical products,,,,,20220726,state,agency action,,,,,Teva Pharmaceutical Industries,IL0006290147,818686,
,,2013,Toyota Motor Corp.,,,,,,"Toyota agreed to a $1.6 billion settlement of multi-district claims that its vehicles were prone to sudden, unintended acceleration.",,https://www.hbsslaw.com/press/toyota-sudden-unintended-acceleration-sua/hagens-berman-judge-grants-approval-of-16-billion-toyota-sua-settlement,,4200000,Toyota,JP3633400001,1094517,20211216,1600000000,0,1600000000,,civil,,safety-related offenses,product safety violation,,,8:10ml2151,,20130724,federal,private litigation,Central District of California,"In Re: Toyota Motor Corp. Unintended Acceleration Marketing, Sales Practices, And Products Liability Litigation",settlement,https://ecf.cacd.uscourts.gov/cgi-bin/DktRpt.pl?469848,Toyota,JP3633400001,1094517,
